"","Jenis_Kelamin","MK1","MK2","MK3","MK4","MK5","IK1","IK2","IK3","IK4","IK5","SM1","SM2","SM3","LM1","LM2","LM3","MK_Skor","IK_Skor","SM_Skor","LM_Skor"
"1","L",2,3,4,2,3,1,2,2,2,2,2,2,2,2,2,2,14,9,6,6
"2","L",2,2,2,2,2,1,2,2,3,2,4,2,2,2,2,2,10,10,8,6
"3","L",2,4,2,2,2,3,3,3,4,3,3,4,2,2,4,2,12,16,9,8
"4","L",2,2,2,2,2,1,2,3,2,2,4,4,2,2,2,2,10,10,10,6
"5","L",2,2,2,2,2,2,2,3,3,2,3,3,2,2,3,3,10,12,8,8
"6","L",2,2,2,2,2,3,3,3,3,3,4,2,3,2,2,2,10,15,9,6
"7","L",4,2,2,3,2,2,2,1,2,2,2,2,2,2,2,2,13,9,6,6
"8","L",4,2,3,2,3,3,2,2,3,2,2,2,2,2,2,2,14,12,6,6
"9","L",2,3,3,3,2,2,2,1,2,2,2,2,2,2,3,2,13,9,6,7
"10","L",2,2,2,2,2,1,2,3,3,2,2,2,2,2,2,2,10,11,6,6
"11","L",2,3,4,3,2,2,2,3,2,2,2,2,2,2,2,2,14,11,6,6
"12","L",2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,11,10,6,6
"13","L",2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,2,11,9,6,6
"14","L",2,3,2,3,2,1,3,2,2,2,3,2,2,2,3,2,12,10,7,7
"15","L",2,3,2,2,2,3,2,3,2,3,2,4,4,2,2,4,11,13,10,8
"16","L",2,3,2,2,2,3,4,2,3,3,2,2,2,2,2,2,11,15,6,6
"17","L",2,4,3,2,2,3,4,2,2,2,2,2,3,2,2,2,13,13,7,6
"18","L",3,3,2,2,2,3,2,3,2,2,2,2,2,2,2,2,12,12,6,6
"19","L",2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,2,11,9,6,6
"20","L",2,2,3,2,2,3,4,3,4,4,4,4,4,2,4,3,11,18,12,9
"21","L",2,2,2,2,2,2,4,2,3,4,3,2,2,2,2,2,10,15,7,6
"22","L",2,2,2,2,4,2,2,2,2,2,2,2,2,2,4,2,12,10,6,8
"23","L",2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,12,10,6,6
"24","L",3,4,3,4,4,1,2,2,2,2,4,2,4,2,2,2,18,9,10,6
"25","L",2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,10,12,6,6
"26","L",3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,11,10,6,6
"27","L",3,3,3,3,4,3,2,2,2,2,2,2,2,2,2,3,16,11,6,7
"28","L",3,2,2,3,4,2,3,2,3,2,2,2,2,2,2,2,14,12,6,6
"29","L",2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,3,10,12,6,7
"30","L",2,3,2,3,2,2,2,1,2,2,2,2,2,2,2,2,12,9,6,6
"31","L",4,4,4,4,4,2,2,2,2,3,4,2,2,3,2,2,20,11,8,7
"32","L",2,2,2,2,3,1,2,2,2,2,2,2,2,2,2,2,11,9,6,6
"33","L",2,2,2,2,2,4,2,2,2,2,2,2,4,2,3,2,10,12,8,7
"34","L",2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,10,10,6,7
"35","L",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,10,6,6
"36","L",4,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,13,10,6,7
"37","L",2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,2,10,10,7,10
"38","L",3,2,2,2,3,4,2,2,2,2,2,2,2,2,2,2,12,12,6,6
"39","L",2,2,2,2,2,3,3,2,2,2,3,2,2,2,2,2,10,12,7,6
"40","L",2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,10,10,6,7
"41","L",2,2,4,4,4,2,3,2,4,3,3,3,2,3,4,3,16,14,8,10
"42","L",4,4,4,4,4,1,4,1,2,2,2,2,2,2,2,2,20,10,6,6
"43","L",2,2,2,3,3,1,2,1,2,2,2,2,3,2,3,2,12,8,7,7
"44","L",2,2,2,2,2,3,2,2,3,3,2,2,2,2,2,2,10,13,6,6
"45","L",2,2,2,2,4,3,2,2,3,2,2,2,2,2,2,2,12,12,6,6
"46","L",2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,10,11,6,6
"47","L",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,10,6,6
"48","L",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,10,6,6
"49","L",2,3,2,2,2,2,2,1,2,2,2,2,2,2,2,2,11,9,6,6
"50","L",2,3,4,2,4,1,2,2,2,2,2,2,2,2,2,3,15,9,6,7
"51","L",2,2,2,4,2,1,3,2,2,2,2,2,2,2,2,2,12,10,6,6
"52","L",2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,10,12,6,6
"53","L",2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,10,9,6,6
