"AK_1","AK_2","AK_3","AK_4","AK_5","MK_1","MK_2","MK_3","MK_4","MK_5","JK"
3,3,4,2,3,3,3,3,3,3,"Laki-Laki"
2,2,2,2,2,3,2,2,2,2,"Laki-Laki"
2,1,2,1,1,3,2,2,2,2,"Laki-Laki"
4,4,3,4,4,3,3,3,3,3,"Laki-Laki"
2,2,2,2,2,2,2,2,2,2,"Laki-Laki"
2,2,2,2,2,2,2,2,3,3,"Laki-Laki"
2,3,2,3,2,2,3,3,2,3,"Laki-Laki"
3,4,2,3,3,2,3,2,2,2,"Laki-Laki"
3,2,3,3,3,2,2,2,2,3,"Laki-Laki"
3,3,3,3,3,3,3,2,2,2,"Laki-Laki"
3,3,2,3,3,2,2,2,3,2,"Laki-Laki"
3,3,3,2,3,2,3,3,3,3,"Laki-Laki"
2,3,3,3,3,2,3,2,2,2,"Laki-Laki"
2,2,2,2,2,3,2,2,2,2,"Laki-Laki"
2,1,2,2,2,2,2,2,2,2,"Laki-Laki"
3,2,2,2,2,2,2,3,2,2,"Laki-Laki"
2,2,1,2,2,2,3,4,3,4,"Laki-Laki"
3,3,3,2,2,2,3,3,3,3,"Laki-Laki"
3,2,3,3,3,2,2,3,3,3,"Laki-Laki"
1,1,1,1,1,2,1,2,2,2,"Laki-Laki"
2,2,2,2,1,4,2,3,2,2,"Laki-Laki"
2,3,2,2,3,3,3,2,2,3,"Laki-Laki"
2,2,3,3,3,2,2,3,2,2,"Laki-Laki"
2,3,3,3,3,2,1,2,2,2,"Laki-Laki"
2,2,2,2,2,3,3,3,4,3,"Laki-Laki"
3,4,3,3,4,3,3,2,3,3,"Laki-Laki"
3,2,2,2,2,1,2,2,2,2,"Laki-Laki"
1,2,2,2,2,4,4,4,4,4,"Laki-Laki"
2,3,2,2,2,3,3,2,2,2,"Laki-Laki"
2,3,3,3,2,2,3,3,3,3,"Laki-Laki"
3,3,3,3,2,1,1,1,1,1,"Laki-Laki"
3,3,2,3,2,3,3,2,2,3,"Laki-Laki"
2,2,2,2,3,2,3,3,3,3,"Laki-Laki"
2,3,2,2,2,3,3,3,3,2,"Laki-Laki"
3,2,3,3,3,3,3,3,4,4,"Laki-Laki"
2,2,2,2,2,4,4,3,3,3,"Laki-Laki"
3,3,3,3,3,3,3,4,4,4,"Laki-Laki"
4,3,2,4,3,2,4,3,2,3,"Laki-Laki"
2,2,2,3,2,3,3,3,2,2,"Laki-Laki"
2,3,3,2,3,3,3,2,2,2,"Laki-Laki"
2,2,1,2,2,2,1,1,1,2,"Laki-Laki"
4,4,4,4,4,1,2,2,2,2,"Laki-Laki"
3,3,3,3,3,3,3,2,2,2,"Laki-Laki"
3,2,2,2,2,2,2,3,3,3,"Laki-Laki"
2,2,2,2,2,3,3,4,4,4,"Laki-Laki"
3,2,2,2,3,3,3,2,3,3,"Laki-Laki"
2,2,3,3,2,4,3,2,3,3,"Laki-Laki"
2,3,4,3,3,3,3,2,3,2,"Laki-Laki"
2,2,3,2,2,3,3,2,3,2,"Laki-Laki"
3,3,3,3,4,2,2,2,2,2,"Laki-Laki"
2,3,4,3,3,3,4,3,4,3,"Laki-Laki"
3,2,2,2,2,2,3,3,3,3,"Laki-Laki"
2,3,3,3,3,3,3,3,3,3,"Laki-Laki"
2,3,2,3,3,3,2,3,3,3,"Laki-Laki"
2,2,3,3,2,3,3,2,2,2,"Laki-Laki"
2,2,2,2,2,2,2,2,2,3,"Laki-Laki"
2,2,1,1,1,2,2,2,2,2,"Laki-Laki"
2,2,2,2,2,3,3,3,3,3,"Laki-Laki"
2,2,2,2,2,2,1,1,2,2,"Laki-Laki"
4,4,3,3,3,2,3,2,2,3,"Laki-Laki"
2,1,2,2,2,2,2,2,2,2,"Laki-Laki"
2,2,2,1,1,1,1,2,1,1,"Laki-Laki"
2,2,2,2,2,3,3,3,3,3,"Laki-Laki"
3,3,3,3,4,2,2,2,2,2,"Laki-Laki"
2,2,3,3,2,2,2,2,2,2,"Laki-Laki"
2,1,1,1,1,1,2,2,2,2,"Laki-Laki"
2,2,4,2,3,2,2,3,3,3,"Laki-Laki"
2,2,2,2,2,2,2,1,2,1,"Laki-Laki"
2,2,2,2,2,2,2,1,2,2,"Laki-Laki"
3,2,2,2,2,3,3,2,2,2,"Laki-Laki"
2,2,2,2,2,3,3,3,2,2,"Laki-Laki"
2,2,2,2,2,3,2,3,3,3,"Laki-Laki"
2,1,1,2,2,4,4,3,3,3,"Laki-Laki"
2,2,2,2,2,2,2,3,2,2,"Laki-Laki"
1,1,2,1,1,2,1,2,2,1,"Laki-Laki"
3,2,2,3,3,2,2,2,2,2,"Laki-Laki"
2,2,2,2,1,4,4,4,4,4,"Laki-Laki"
2,3,2,2,2,3,3,3,2,3,"Laki-Laki"
3,2,3,2,2,2,2,2,2,2,"Laki-Laki"
2,2,3,2,3,3,3,3,2,2,"Laki-Laki"
2,2,2,3,3,2,2,2,2,2,"Laki-Laki"
2,2,3,3,3,2,2,2,2,2,"Laki-Laki"
3,4,3,3,4,2,3,2,3,3,"Laki-Laki"
3,2,2,2,2,3,2,2,2,2,"Laki-Laki"
2,2,2,2,2,2,2,2,2,2,"Laki-Laki"
3,2,2,3,2,2,1,2,2,2,"Laki-Laki"
4,4,3,3,3,1,1,1,1,1,"Laki-Laki"
3,2,3,3,3,3,2,3,2,2,"Laki-Laki"
2,2,2,3,2,2,2,2,3,2,"Laki-Laki"
3,2,3,3,2,3,3,3,3,3,"Laki-Laki"
3,2,2,2,2,2,3,2,2,2,"Laki-Laki"
1,2,3,2,2,3,2,2,2,2,"Laki-Laki"
2,2,2,2,2,1,1,1,1,1,"Laki-Laki"
2,2,1,2,2,2,2,2,2,2,"Laki-Laki"
2,2,2,2,2,2,3,3,3,3,"Laki-Laki"
2,2,2,2,2,2,2,2,3,2,"Laki-Laki"
2,3,2,2,2,3,3,3,4,4,"Laki-Laki"
2,2,2,2,2,2,2,2,2,2,"Laki-Laki"
2,2,2,2,2,2,2,2,2,2,"Laki-Laki"
1,2,2,1,1,1,2,1,1,1,"Laki-Laki"
2,2,2,2,2,2,2,2,2,2,"Laki-Laki"
2,3,2,2,2,2,3,3,3,3,"Laki-Laki"
2,2,3,2,2,2,3,2,3,2,"Laki-Laki"
2,2,2,3,2,3,2,3,3,3,"Laki-Laki"
3,3,3,3,3,2,3,2,3,2,"Laki-Laki"
2,2,3,2,2,2,2,2,2,2,"Laki-Laki"
3,2,2,2,2,3,3,3,4,4,"Laki-Laki"
2,2,3,2,3,1,2,2,2,2,"Laki-Laki"
2,2,2,2,2,2,3,2,2,2,"Laki-Laki"
2,2,2,2,2,3,2,2,3,3,"Laki-Laki"
1,2,2,2,2,2,3,2,3,3,"Laki-Laki"
2,3,2,3,3,2,2,3,2,2,"Laki-Laki"
2,2,3,2,3,3,3,3,3,3,"Laki-Laki"
2,3,3,3,3,1,2,1,1,1,"Laki-Laki"
2,2,2,2,2,3,2,2,2,2,"Laki-Laki"
2,2,2,2,2,2,2,2,1,2,"Laki-Laki"
4,2,3,2,4,2,3,3,3,3,"Laki-Laki"
2,3,3,2,3,2,2,2,2,2,"Laki-Laki"
2,2,2,2,2,2,3,1,2,2,"Laki-Laki"
2,3,2,2,2,2,2,3,3,3,"Laki-Laki"
2,2,3,3,3,2,2,2,2,2,"Laki-Laki"
2,2,2,2,2,2,3,4,4,3,"Laki-Laki"
1,2,1,1,1,2,2,1,2,2,"Laki-Laki"
2,2,2,2,1,2,2,3,2,2,"Laki-Laki"
1,1,1,1,1,2,2,2,2,2,"Laki-Laki"
3,2,3,3,2,2,2,2,2,2,"Laki-Laki"
3,2,2,2,2,3,3,2,3,3,"Laki-Laki"
3,2,2,3,3,3,3,4,4,4,"Laki-Laki"
2,3,3,3,3,3,2,3,2,3,"Laki-Laki"
2,2,2,2,2,2,2,2,2,2,"Laki-Laki"
2,3,2,3,2,1,2,2,1,2,"Laki-Laki"
1,2,3,2,2,2,3,2,2,2,"Laki-Laki"
3,4,3,3,3,3,3,2,3,2,"Laki-Laki"
2,2,2,2,2,2,2,2,2,2,"Laki-Laki"
