"PTO1","PTO2","PTO3","PTO4","PTO5","PTM1","PTM2","PTM3","PTM4","PTM5","MMS1","MMS2","MMS3","MMS4","MMS5","PTT","PMI","PMR","PKK","PKP"
3,3,2,3,2,3,3,3,3,4,3,2,3,3,4,2,3,3,1,1
2,2,3,3,2,3,3,2,3,3,2,2,2,3,2,2,1,2,3,3
3,3,3,3,4,2,2,2,2,2,3,2,2,2,3,2,1,1,2,2
2,2,3,2,1,3,3,3,3,3,2,4,3,3,4,4,4,4,3,2
2,2,3,2,2,2,3,2,3,2,3,2,2,3,2,2,2,2,2,2
2,2,2,2,3,2,2,2,2,2,2,1,3,2,2,2,2,2,3,3
2,2,2,2,2,4,3,3,3,2,3,2,2,2,2,3,3,2,3,2
1,1,2,2,1,2,2,3,2,3,3,3,2,3,3,2,3,2,3,3
3,3,3,4,3,2,2,3,2,2,2,2,2,3,2,2,2,3,2,3
2,2,2,2,2,3,3,3,2,2,3,3,2,3,3,3,2,3,3,2
2,2,2,2,3,2,2,2,1,2,4,2,3,3,3,3,2,3,2,2
2,2,3,2,2,3,2,2,3,3,4,2,3,3,2,3,3,3,2,1
3,3,2,1,3,2,3,2,3,3,2,2,2,2,2,3,3,3,2,2
2,3,3,2,2,2,1,3,3,3,3,2,2,3,2,3,2,2,2,2
3,3,3,3,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,2,3,2,2,2,2,2,2,2,3,4,2,3,3,3,2,2,3,2
3,2,1,1,2,3,3,3,2,3,2,2,2,2,2,3,3,3,3,4
2,2,1,2,2,3,3,3,2,2,4,4,4,3,4,2,2,2,2,2
4,3,3,3,2,2,2,2,2,4,2,2,3,3,3,2,2,3,2,3
2,2,3,3,2,2,1,2,1,2,1,2,2,1,1,1,1,1,2,2
2,2,2,2,2,2,2,2,3,3,2,2,3,3,2,2,2,2,2,3
2,2,2,2,3,3,2,2,3,2,2,3,3,3,2,2,3,3,2,2
2,4,2,3,3,3,2,2,2,2,2,3,3,2,2,3,2,2,3,3
3,3,3,2,3,2,3,2,3,3,2,2,1,1,2,2,2,2,2,3
3,2,2,2,2,4,2,3,2,3,4,2,3,2,2,3,2,2,2,2
2,2,2,2,2,4,3,4,3,3,2,3,2,2,2,4,3,3,3,3
2,2,2,2,2,1,2,1,2,1,3,3,2,3,3,2,2,2,2,3
3,2,3,3,3,3,2,2,2,3,3,2,2,2,2,2,3,3,3,2
2,2,1,2,1,3,3,3,2,2,4,2,3,3,3,2,2,2,2,2
2,2,3,3,4,2,3,3,3,3,2,4,3,2,2,2,2,2,3,2
1,2,2,2,1,2,3,3,2,2,2,3,2,2,2,2,1,2,2,2
2,2,2,2,1,2,3,2,2,2,3,3,3,2,2,3,2,3,3,3
3,3,3,3,4,2,2,2,2,2,2,2,3,2,3,4,3,3,2,2
2,3,2,2,2,2,3,3,2,3,3,2,3,3,3,3,2,2,2,1
4,3,3,2,3,2,2,2,2,2,3,2,3,3,3,3,3,4,4,3
3,3,4,4,3,2,2,3,3,2,3,2,2,2,2,3,4,3,3,2
2,3,2,3,3,2,4,4,3,4,3,3,4,3,3,3,3,3,3,3
2,2,2,2,2,2,2,2,2,2,3,2,3,2,4,3,4,3,3,4
2,3,2,2,2,2,2,2,2,3,2,2,2,2,2,3,3,2,4,3
2,2,2,3,2,3,3,3,4,3,2,2,3,2,2,2,2,2,2,1
2,2,2,2,3,2,1,2,2,2,2,2,1,1,2,2,2,3,3,2
2,3,3,3,2,3,2,2,3,3,2,4,4,3,3,2,2,2,3,2
2,3,2,2,2,3,2,1,3,2,2,4,3,3,3,2,3,2,3,3
2,3,2,2,2,2,2,3,2,2,2,2,4,4,3,3,2,2,2,1
2,2,3,3,2,3,3,3,2,2,3,3,2,3,3,3,2,2,2,3
