"stidstd","schoolid","st04q01","st81q01","st81q02","st81q03","st81q04","st81q05","st62q01","st62q03","st62q06","st62q07","st62q12","st62q15","st62q16","pv1math","pv2math","pv3math","pv4math","pv5math","st81q01s","st81q02s","st81q03s","st81q04s","st81q05s","st62q01s","st62q03s","st62q06s","st62q07s","st62q12s","st62q15s","st62q16s"
2,1,1,4,4,4,4,4,2,5,3,2,3,4,3,0.92,1.036,0.856,0.457,1.412,4,3.5,3.5,4,4,1.5,5,4,1.5,2,4.5,2
4,1,1,4,3,3,4,4,1,5,5,1,1,5,1,0.135,-0.363,-0.371,0.035,0.299,4,3.5,3.5,4,4,1.5,5,4,1.5,2,4.5,2
10,2,1,3,2,2,3,3,2,5,5,1,1,3,1,0.564,0.401,0.457,0.607,0.243,3,2.33333333333333,1.66666666666667,3.66666666666667,3.66666666666667,1.66666666666667,4,4.33333333333333,1.66666666666667,1.66666666666667,2.66666666666667,1.33333333333333
11,2,1,4,4,2,4,4,1,3,3,2,2,2,1,-0.249,-0.441,-0.461,0.023,-0.57,3,2.33333333333333,1.66666666666667,3.66666666666667,3.66666666666667,1.66666666666667,4,4.33333333333333,1.66666666666667,1.66666666666667,2.66666666666667,1.33333333333333
21,2,1,2,1,1,4,4,2,4,5,2,2,3,2,0.722,0.277,0.759,0.45,0.378,3,2.33333333333333,1.66666666666667,3.66666666666667,3.66666666666667,1.66666666666667,4,4.33333333333333,1.66666666666667,1.66666666666667,2.66666666666667,1.33333333333333
27,3,1,3,3,3,4,4,1,4,4,5,1,5,1,-0.429,0.503,-0.437,-0.459,-0.083,2.63636363636364,2.72727272727273,2.81818181818182,2.90909090909091,3.09090909090909,1.72727272727273,4,3.63636363636364,3.63636363636364,2.09090909090909,2.90909090909091,3.18181818181818
30,3,1,3,3,3,3,3,1,3,2,4,1,1,1,-1.184,0.369,-0.828,-1.12,-0.782,2.63636363636364,2.72727272727273,2.81818181818182,2.90909090909091,3.09090909090909,1.72727272727273,4,3.63636363636364,3.63636363636364,2.09090909090909,2.90909090909091,3.18181818181818
32,3,1,3,2,3,4,4,2,5,5,5,4,1,5,-0.259,0.289,0.178,0.586,0.413,2.63636363636364,2.72727272727273,2.81818181818182,2.90909090909091,3.09090909090909,1.72727272727273,4,3.63636363636364,3.63636363636364,2.09090909090909,2.90909090909091,3.18181818181818
33,3,2,1,1,1,1,1,4,4,4,4,4,4,4,-1.187,-0.734,-0.137,-0.371,-1.237,2.63636363636364,2.72727272727273,2.81818181818182,2.90909090909091,3.09090909090909,1.72727272727273,4,3.63636363636364,3.63636363636364,2.09090909090909,2.90909090909091,3.18181818181818
34,3,1,2,4,2,4,2,1,4,4,4,1,4,4,0.111,-0.521,-0.451,-0.304,0.242,2.63636363636364,2.72727272727273,2.81818181818182,2.90909090909091,3.09090909090909,1.72727272727273,4,3.63636363636364,3.63636363636364,2.09090909090909,2.90909090909091,3.18181818181818
